"","PANID","COLUPC","WEEK","UNITS","OUTLET","DOLLARS","IRI_KEY","L4","L5","VOL_EQ","COLOR","SIZE","ADDITIVES","NUMBER_OF_PLY","TYPE_OF_DISPENSER","per_unit_cost","per_sheet_cost","Panelist_Type","Combined_Income","Family_Size","HH_RACE","Type_Residential","Age_Group_Male","Education_Male","Occupation_Male","Male_Working_Hour","Age_Group_Female","Education_Female","Occupation_Female","Female_Working_Hour","No_Dogs","No_Cats","Children_Group_Code","Marital_Status","Is_pet","monetary","freq","day","M","F","R","cat"
"4669",1132373,33700062405,1125,1,"GR",2.08,248128,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",2.08,0.014444444,0,7,1,1,1,7,9,11,1,4,5,2,0,0,0,0,3,0,2.08,1,1125,1,0,0,4
"4756",1132548,33700062405,1132,1,"GR",2.09,652159,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",2.09,0.014513889,0,11,4,1,2,3,7,4,0,3,7,4,0,0,0,1,2,0,2.09,1,1132,1,0,1,4
"4773",1132563,23700062960,1152,1,"GR",4.99,213290,"PROCTER","PUFFS PL",4.32,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",4.99,0.011550926,0,6,4,1,1,7,9,11,1,3,5,3,0,0,0,2,3,0,4.99,1,1152,2,0,2,4
"4774",1132563,33700062405,1126,1,"GR",1.99,213290,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",1.99,0.013819444,0,6,4,1,1,7,9,11,1,3,5,3,0,0,0,2,3,0,1.99,1,1126,1,0,0,4
"4780",1132696,13700031680,1131,1,"GR",1.39,213290,"PROCTER","PUFFS PL",0.64,"WHITE","FULL SIZ","ALOE VER","2 PLY","TOP OPEN",1.39,0.02171875,0,10,5,1,2,4,4,6,0,4,5,4,0,1,0,2,2,1,1.39,1,1131,0,0,0,4
"4789",1132720,13700033549,1147,1,"GR",1.99,213290,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",1.99,0.009212963,0,7,2,1,2,6,4,10,1,6,4,10,1,0,0,0,2,0,8.26,2,1147,3,1,2,4
"4790",1132720,13700033549,1141,3,"GR",6.27,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,7,2,1,2,6,4,10,1,6,4,10,1,0,0,0,2,0,8.26,2,1147,3,1,2,4
"4793",1132720,23700062262,1140,1,"GR",1.99,213290,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,7,2,1,2,6,4,10,1,6,4,10,1,0,0,0,2,0,3.98,2,1147,2,1,2,4
"4794",1132720,23700062262,1147,1,"GR",1.99,213290,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,7,2,1,2,6,4,10,1,6,4,10,1,0,0,0,2,0,3.98,2,1147,2,1,2,4
"4803",1132746,13700033549,1131,5,"DR",6.95,8046669,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",1.39,0.006435185,0,9,2,1,2,5,4,10,1,5,6,1,0,0,0,0,2,0,6.95,1,1131,3,0,0,4
"4804",1132746,23700062262,1147,2,"DR",2.98,8003043,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.49,0.010347222,0,9,2,1,2,5,4,10,1,5,6,1,0,0,0,0,2,0,2.98,1,1147,1,0,2,4
"4841",1132803,13700031680,1130,1,"GR",1.39,213290,"PROCTER","PUFFS PL",0.64,"WHITE","FULL SIZ","ALOE VER","2 PLY","TOP OPEN",1.39,0.02171875,0,8,2,1,2,6,4,10,1,6,4,10,1,0,0,0,2,0,2.78,2,1131,1,1,0,4
"4842",1132803,13700031680,1131,1,"GR",1.39,213290,"PROCTER","PUFFS PL",0.64,"WHITE","FULL SIZ","ALOE VER","2 PLY","TOP OPEN",1.39,0.02171875,0,8,2,1,2,6,4,10,1,6,4,10,1,0,0,0,2,0,2.78,2,1131,1,1,0,4
"4879",1132829,33700062405,1126,1,"GR",2.08,248128,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",2.08,0.014444444,0,11,4,1,2,3,6,2,0,2,7,1,0,0,0,1,2,0,2.08,1,1126,1,0,0,4
"4899",1132894,13700015800,1135,1,"MA",1.29,9979849,"PROCTER","PUFFS",1.08,"WHITE","MISSING","MISSING","3 PLY","TOP OPEN",1.29,0.011944444,8,8,5,1,2,4,4,4,0,4,4,1,0,1,0,2,2,1,1.29,1,1135,0,0,1,4
"4928",1132936,13700062501,1154,1,"GR",1.99,266596,"PROCTER","PUFFS TO",0.72,"WHITE","POCKET S","MISSING","2 PLY","TEAR OPE",1.99,0.027638889,0,8,3,1,1,4,4,9,0,3,4,9,0,1,1,0,2,1,1.99,1,1154,1,0,2,4
"4929",1132944,13700033549,1131,2,"GR",4.18,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,8,2,1,2,5,4,10,1,5,4,10,1,0,0,0,2,0,4.18,1,1131,2,0,0,4
"4934",1132977,13700033549,1153,2,"GR",4.18,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,7,6,1,1,3,6,6,0,3,5,1,0,0,0,2,2,0,4.18,1,1153,2,0,2,4
"4936",1132985,23700062262,1145,3,"GR",6.27,652159,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",2.09,0.014513889,0,8,2,1,1,3,4,8,0,3,7,4,0,0,0,0,2,0,6.27,1,1145,2,0,2,4
"4965",1133116,23700062960,1114,1,"GR",3.99,213290,"PROCTER","PUFFS PL",4.32,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",3.99,0.009236111,0,11,4,1,2,3,4,2,0,3,7,1,0,0,0,1,2,0,3.99,1,1114,2,0,0,4
"4976",1133157,43700062811,1133,1,"GR",1.39,213290,"PROCTER","PUFFS AD",0.64,"WHITE","MISSING","MISSING","2 PLY","TOP OPEN",1.39,0.02171875,0,9,4,1,2,4,7,1,0,3,5,1,0,0,1,1,2,1,1.39,1,1133,0,0,1,4
"4994",1133181,33700062405,1136,1,"GR",1.99,213290,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",1.99,0.013819444,0,8,4,1,2,3,7,3,0,3,5,13,1,1,0,1,2,1,8.26,2,1154,3,1,2,4
"4995",1133181,33700062405,1154,3,"GR",6.27,652159,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",2.09,0.014513889,0,8,4,1,2,3,7,3,0,3,5,13,1,1,0,1,2,1,8.26,2,1154,3,1,2,4
"4999",1133207,23700062262,1121,2,"DR",3.58,8003043,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.79,0.012430556,0,8,4,1,2,3,7,2,0,3,7,8,0,0,0,2,2,0,7.56,2,1121,3,1,0,4
"5000",1133207,23700062262,1115,2,"GR",3.98,213290,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,8,4,1,2,3,7,2,0,3,7,8,0,0,0,2,2,0,7.56,2,1121,3,1,0,4
"5007",1133256,33700062405,1153,4,"GR",8.36,652159,"PROCTER","PUFFS EX",1.44,"WHITE","FAMILY","MISSING","2 PLY","TOP & SI",2.09,0.014513889,0,7,3,1,2,3,7,6,0,7,9,11,1,0,1,0,1,1,8.36,1,1153,3,0,2,4
